# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -4.652851084      0.8604810903E+15 -0.1252555420E+14  0.8583667722E+15  0.1561973085E+13 -0.8065465925E+13  0.6490458319E+15 -0.1252555420E+14  0.1561973085E+13 -0.8065465925E+13
  -4.651851084      0.9025283129E+15 -0.1320790336E+14  0.9003165850E+15  0.1602155286E+13 -0.8602235208E+13  0.6815675226E+15 -0.1320790336E+14  0.1602155286E+13 -0.8602235208E+13
  -4.650851084      0.9464110351E+15 -0.1372501588E+14  0.9440531002E+15  0.1683361101E+13 -0.9087792339E+13  0.7154613810E+15 -0.1372501588E+14  0.1683361101E+13 -0.9087792339E+13
  -4.649851084      0.9921812307E+15 -0.1404132872E+14  0.9897990315E+15  0.1650222209E+13 -0.9561266523E+13  0.7504040787E+15 -0.1404132872E+14  0.1650222209E+13 -0.9561266523E+13
  -4.648851084      0.1039858779E+16 -0.1487793040E+14  0.1037479752E+16  0.1738707937E+13 -0.9956077578E+13  0.7868497072E+15 -0.1487793040E+14  0.1738707937E+13 -0.9956077578E+13
  -4.647851084      0.1089494198E+16 -0.1568340592E+14  0.1086994458E+16  0.1946854912E+13 -0.1018813040E+14  0.8252073779E+15 -0.1568340592E+14  0.1946854912E+13 -0.1018813040E+14
  -4.646851084      0.1141658012E+16 -0.1659941993E+14  0.1138976457E+16  0.1948051457E+13 -0.1070310153E+14  0.8656729838E+15 -0.1659941993E+14  0.1948051457E+13 -0.1070310153E+14
  -4.645851084      0.1195942951E+16 -0.1698596046E+14  0.1193408368E+16  0.1904785391E+13 -0.1126656636E+14  0.9074115265E+15 -0.1698596046E+14  0.1904785391E+13 -0.1126656636E+14
  -4.644851084      0.1252424871E+16 -0.1780310672E+14  0.1249579440E+16  0.1951792876E+13 -0.1184163732E+14  0.9508053805E+15 -0.1780310672E+14  0.1951792876E+13 -0.1184163732E+14
  -4.643851084      0.1311311970E+16 -0.1838026030E+14  0.1308602700E+16  0.2112977737E+13 -0.1235993482E+14  0.9961604708E+15 -0.1838026030E+14  0.2112977737E+13 -0.1235993482E+14
  -4.642851084      0.1372445244E+16 -0.1948556340E+14  0.1369542414E+16  0.2164984979E+13 -0.1281076054E+14  0.1043336581E+16 -0.1948556340E+14  0.2164984979E+13 -0.1281076054E+14
  -4.641851084      0.1436946703E+16 -0.2055582901E+14  0.1433636538E+16  0.2364951636E+13 -0.1321387856E+14  0.1093003413E+16 -0.2055582901E+14  0.2364951636E+13 -0.1321387856E+14
  -4.640851084      0.1503885294E+16 -0.2139971527E+14  0.1500772192E+16  0.2326636180E+13 -0.1399663776E+14  0.1144779533E+16 -0.2139971527E+14  0.2326636180E+13 -0.1399663776E+14
  -4.639851084      0.1573462366E+16 -0.2212034791E+14  0.1570132841E+16  0.2342236003E+13 -0.1460521853E+14  0.1198663397E+16 -0.2212034791E+14  0.2342236003E+13 -0.1460521853E+14
  -4.638851084      0.1645895819E+16 -0.2301202217E+14  0.1642343066E+16  0.2424890455E+13 -0.1548722762E+14  0.1254605431E+16 -0.2301202217E+14  0.2424890455E+13 -0.1548722762E+14
  -4.637851084      0.1721721832E+16 -0.2405454307E+14  0.1718369104E+16  0.2495279086E+13 -0.1605308978E+14  0.1313116308E+16 -0.2405454307E+14  0.2495279086E+13 -0.1605308978E+14
  -4.636851084      0.1800788330E+16 -0.2522013747E+14  0.1797038050E+16  0.2863038545E+13 -0.1654294357E+14  0.1373823676E+16 -0.2522013747E+14  0.2863038545E+13 -0.1654294357E+14
  -4.635851084      0.1882868922E+16 -0.2662114235E+14  0.1879124943E+16  0.2691409474E+13 -0.1728000233E+14  0.1437725932E+16 -0.2662114235E+14  0.2691409474E+13 -0.1728000233E+14
  -4.634851084      0.1968884337E+16 -0.2765550241E+14  0.1964883635E+16  0.2946870274E+13 -0.1809838297E+14  0.1504438344E+16 -0.2765550241E+14  0.2946870274E+13 -0.1809838297E+14
  -4.633851084      0.2058447256E+16 -0.2866959776E+14  0.2054275561E+16  0.2930983756E+13 -0.1898353937E+14  0.1573781317E+16 -0.2866959776E+14  0.2930983756E+13 -0.1898353937E+14
  -4.632851084      0.2151027393E+16 -0.2969868864E+14  0.2147000786E+16  0.2987075836E+13 -0.1984922994E+14  0.1645191661E+16 -0.2969868864E+14  0.2987075836E+13 -0.1984922994E+14
