# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -4.628851084      0.1627218717E+23  0.4595231331E+27 -0.3355723302E+23 -0.3899193570E+25 -0.4313727816E+24 -0.6670006253E+21 -0.4595077086E+27  0.3917377246E+25  0.4238746439E+24
  -4.627851084      0.2726274884E+22  0.4800316583E+27  0.3669472110E+22 -0.4067410968E+25 -0.4458918844E+24 -0.7349932304E+21 -0.4800994220E+27  0.4067722686E+25  0.4383392763E+24
  -4.626851084     -0.8763049794E+23  0.5014719417E+27  0.9536966623E+23 -0.4245568919E+25 -0.4607596581E+24 -0.9869796962E+21 -0.5014229749E+27  0.4265025841E+25  0.4627291020E+24
  -4.625851084     -0.2102868934E+23  0.5236962388E+27  0.2313474549E+23 -0.4419947078E+25 -0.4762480143E+24 -0.1566373930E+22 -0.5237208648E+27  0.4451065859E+25  0.4426320206E+24
  -4.624851084      0.2838440072E+23  0.5469000256E+27 -0.2935873650E+23 -0.4602302581E+25 -0.4935475388E+24 -0.4551838040E+21 -0.5469449725E+27  0.4588522406E+25  0.5058277074E+24
  -4.623851084      0.3409941359E+23  0.5711566275E+27 -0.3687570644E+23 -0.4797007652E+25 -0.5043758369E+24  0.3378799396E+22 -0.5711836526E+27  0.4762770938E+25  0.5133006638E+24
  -4.622851084      0.2471519731E+23  0.5964189043E+27 -0.1669522642E+23 -0.4999669108E+25 -0.5198938445E+24  0.2755876359E+22 -0.5963673617E+27  0.4981337936E+25  0.5471586581E+24
  -4.621851084     -0.9512096270E+22  0.6226296189E+27 -0.4986673778E+22 -0.5212246572E+25 -0.5347316226E+24  0.1019931075E+22 -0.6226054488E+27  0.5199370209E+25  0.5287164732E+24
  -4.620851084     -0.5163389444E+23  0.6500012748E+27  0.4405966273E+23 -0.5438258810E+25 -0.5553927712E+24 -0.7031040044E+21 -0.6499797599E+27  0.5453204391E+25  0.5112819723E+24
  -4.619851084     -0.3048203299E+23  0.6784461279E+27  0.2956348250E+23 -0.5658537702E+25 -0.5704091769E+24 -0.6821584117E+22 -0.6784802677E+27  0.5734863662E+25  0.5749285223E+24
  -4.618851084      0.3710307933E+22  0.7080717272E+27  0.1779076124E+23 -0.5894730917E+25 -0.5921389493E+24 -0.9935174738E+21 -0.7081072002E+27  0.5903790164E+25  0.6286808097E+24
  -4.617851084      0.5750133263E+23  0.7389440243E+27 -0.5670978358E+23 -0.6138318478E+25 -0.6100551325E+24  0.3751047971E+22 -0.7388994375E+27  0.6084608285E+25  0.5846051035E+24
